Time,Height,Flow
27,0.594,47.039
27.01041667,0.591,46.657
27.02083333,0.588,46.324
27.03125,0.584,45.991
27.04166667,0.584,45.707
27.05208334,0.582,45.375
27.0625,0.579,45.044
27.07291667,0.576,44.761
27.08333334,0.573,44.432
27.09375,0.567,44.149
27.10416667,0.566,43.821
27.11458334,0.568,43.54
27.125,0.572,43.259
27.13541667,0.566,42.886
27.14583334,0.574,42.653
27.15625001,0.572,42.327
27.16666667,0.566,42.002
27.17708334,0.575,41.77
27.18750001,0.576,41.446
27.19791667,0.561,41.084
27.20833334,0.546,40.796
27.21875001,0.544,40.449
27.22916667,0.539,40.157
27.23958334,0.541,39.923
27.25000001,0.545,39.629
27.26041668,0.546,39.334
27.27083334,0.552,39.096
27.28125001,0.554,38.858
27.29166668,0.551,38.558
27.30208334,0.549,38.317
27.31250001,0.548,38.015
27.32291668,0.546,37.832
27.33333334,0.544,37.588
27.34375001,0.54,37.343
27.35416668,0.536,37.158
27.36458335,0.535,36.973
27.37500001,0.53,36.724
27.38541668,0.528,36.724
27.39583335,0.529,36.537
27.40625001,0.524,36.287
27.41666668,0.527,36.162
27.42708335,0.524,36.036
27.43750001,0.518,35.973
27.44791668,0.523,35.783
27.45833335,0.547,35.719
27.46875002,0.54,35.719
27.47916668,0.572,35.656
27.48958335,0.588,35.719
27.50000002,0.602,35.719
27.51041668,0.594,35.783
27.52083335,0.598,35.909
27.53125002,0.598,36.099
27.54166668,0.583,36.224
27.55208335,0.572,36.35
27.56250002,0.565,36.6
27.57291669,0.552,36.911
27.58333335,0.532,37.281
27.59375002,0.517,37.649
27.60416669,0.502,38.136
27.61458335,0.503,38.918
27.62500002,0.518,39.688
27.63541669,0.507,40.68
27.64583335,0.511,41.77
27.65625002,0.532,42.839
27.66666669,0.539,43.774
27.67708336,0.551,44.903
27.68750002,0.556,46.134
27.69791669,0.561,47.565
27.70833336,0.581,49.539
27.71875002,0.584,52.022
27.72916669,0.593,55.629
27.73958336,0.597,60.721
27.75000002,0.612,67.28
27.76041669,0.626,74.974
27.77083336,0.648,83.87
27.78125003,0.667,94.095
27.79166669,0.697,106.432
27.80208336,0.735,118.48
27.81250003,0.785,130.479
27.82291669,0.846,145.053
27.83333336,0.909,155.07
27.84375003,0.991,169.896
27.85416669,1.076,186.131
27.86458336,1.175,196.288
27.87500003,1.258,213.204
27.8854167,1.362,221.459
27.89583336,1.453,227.599
27.90625003,1.571,238.871
27.9166667,1.658,247.168
27.92708336,1.748,251.385
27.93750003,1.845,255.849
27.9479167,1.916,263.3
27.95833336,1.993,289.725
27.96875003,2.09,323.657
27.9791667,2.163,337.318
27.98958337,2.225,347.564
28.00000003,2.288,356.741
28.0104167,2.343,365.837
28.02083337,2.405,373.891
28.03125003,2.472,382.494
28.0416667,2.52,390.829
28.05208337,2.565,399.019
28.06250003,2.621,407.195
28.0729167,2.653,414.18
28.08333337,2.712,420.664
28.09375004,2.749,427.376
28.1041667,2.775,434.322
28.11458337,2.835,439.819
28.12500004,2.886,445.989
28.1354167,2.927,452.852
28.14583337,2.964,457.579
28.15625004,3.006,462.024
28.1666667,3.04,466.503
28.17708337,3.072,469.884
28.18750004,3.116,471.501
28.19791671,3.137,473.934
28.20833337,3.168,475.072
28.21875004,3.166,474.421
28.22916671,3.197,473.771
28.23958337,3.219,473.446
28.25000004,3.23,473.771
28.26041671,3.253,471.662
28.27083337,3.274,469.723
28.28125004,3.293,467.628
28.29166671,3.312,464.1
28.30208338,3.301,462.184
28.31250004,3.33,459.797
28.32291671,3.338,455.999
28.33333338,3.33,453.952
28.34375004,3.349,451.129
28.35416671,3.341,449.723
28.36458338,3.364,447.075
28.37500004,3.356,444.904
28.38541671,3.364,443.358
28.39583338,3.36,441.971
28.40625005,3.352,440.74
28.41666671,3.358,439.819
28.42708338,3.358,438.899
28.43750005,3.365,438.287
28.44791671,3.364,437.981
28.45833338,3.354,437.064
28.46875005,3.351,437.064
28.47916671,3.354,436.606
28.48958338,3.339,435.844
28.50000005,3.349,435.844
28.51041672,3.362,435.082
28.52083338,3.348,434.474
28.53125005,3.337,433.867
28.54166672,3.353,431.745
28.55208338,3.343,430.838
28.56250005,3.34,428.728
28.57291672,3.334,426.327
28.58333338,3.33,423.488
28.59375005,3.328,420.516
28.60416672,3.314,417.265
28.61458339,3.303,413.156
28.62500005,3.294,408.498
28.63541672,3.286,403.019
28.64583339,3.288,398.023
28.65625005,3.274,392.091
28.66666672,3.257,386.367
28.67708339,3.252,380.432
28.68750005,3.245,374.162
28.69791672,3.237,368.239
28.70833339,3.233,362.521
28.71875006,3.207,356.219
28.72916672,3.186,349.744
28.73958339,3.158,343.868
28.75000006,3.131,337.943
28.76041672,3.088,332.839
28.77083339,3.046,327.184
28.78125006,3.003,321.965
28.79166672,2.959,317.645
28.80208339,2.915,312.072
28.81250006,2.878,308.088
28.82291673,2.837,303.566
28.83333339,2.808,299.324
28.84375006,2.772,295.274
28.85416673,2.739,291.242
28.86458339,2.715,287.783
28.87500006,2.68,284.245
28.88541673,2.65,281.158
28.89583339,2.615,277.778
28.90625006,2.594,275.47
28.91666673,2.558,272.757
28.9270834,2.529,270.786
28.93750006,2.509,268.619
28.94791673,2.479,266.565
28.9583334,2.446,265.133
28.96875006,2.419,263.808
28.97916673,2.423,262.082
28.9895834,2.398,260.565
29.00000006,2.363,259.356
29.01041673,2.355,258.049
29.0208334,2.34,256.248
29.03125007,2.324,254.057
29.04166673,2.319,251.879
29.0520834,2.29,249.712
29.06250007,2.274,247.461
29.07291673,2.266,244.737
29.0833334,2.249,242.514
29.09375007,2.241,239.731
29.10416673,2.225,236.683
29.1145834,2.208,233.567
29.12500007,2.185,230.477
29.13541674,2.18,227.599
29.1458334,2.157,224.47
29.15625007,2.14,221.186
29.16666674,2.124,218.114
29.1770834,2.11,214.981
29.18750007,2.081,211.7
29.19791674,2.061,208.89
29.2083334,2.04,205.843
29.21875007,2.049,203.083
29.22916674,2.035,200.177
29.23958341,2.005,197.466
29.25000007,1.967,194.863
29.26041674,1.941,192.532
29.27083341,1.917,190.3
29.28125007,1.892,188.249
29.29166674,1.865,186.375
29.30208341,1.838,184.352
29.31250007,1.816,182.823
29.32291674,1.795,181.543
29.33333341,1.773,180.586
29.34375008,1.768,179.792
29.35416674,1.75,179.316
29.36458341,1.737,179.474
29.37500008,1.727,179.554
29.38541674,1.708,180.268
29.39583341,1.715,180.984
29.40625008,1.701,181.703
29.41666674,1.696,182.904
29.42708341,1.692,184.11
29.43750008,1.681,185.24
29.44791675,1.688,186.213
29.45833341,1.695,187.678
29.46875008,1.692,188.658
29.47916675,1.701,189.396
29.48958341,1.697,190.218
29.50000008,1.718,190.877
29.51041675,1.713,191.042
29.52083341,1.719,190.96
29.53125008,1.719,190.547
29.54166675,1.72,190.3
29.55208342,1.718,189.725
29.56250008,1.717,188.658
29.57291675,1.721,187.433
29.58333342,1.714,186.05
29.59375008,1.711,184.432
29.60416675,1.704,182.743
29.61458342,1.703,180.427
29.62500008,1.688,178.288
29.63541675,1.692,176.165
29.64583342,1.673,173.826
29.65625009,1.664,171.2
29.66666675,1.657,168.751
29.67708342,1.642,166.099
29.68750009,1.64,163.923
29.69791675,1.622,161.58
29.70833342,1.628,159.163
29.71875009,1.634,156.691
29.72916675,1.649,154.488
29.73958342,1.638,151.97
29.75000009,1.648,149.591
29.76041676,1.618,147.349
29.77083342,1.6,145.244
29.78125009,1.576,143.019
29.79166676,1.539,140.867
29.80208342,1.498,138.849
29.81250009,1.459,136.65
29.82291676,1.427,134.709
29.83333342,1.392,132.963
29.84375009,1.359,130.975
29.85416676,1.344,129.179
29.86458343,1.319,127.575
29.87500009,1.302,125.975
29.88541676,1.291,124.443
29.89583343,1.277,123.037
29.90625009,1.257,121.817
29.91666676,1.259,120.601
29.92708343,1.239,119.388
29.93750009,1.227,118.359
29.94791676,1.221,117.393
29.95833343,1.197,116.429
29.9687501,1.181,115.407
29.97916676,1.174,114.568
29.98958343,1.163,113.37
