Time stamp,Value [m],State of value,Interpolation,Absolute value [mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
27/12/2023 00:00,0.594,G,102,2.717,G,102,,
27/12/2023 00:15,0.591,G,102,2.714,G,102,,
27/12/2023 00:30,0.588,G,102,2.711,G,102,,
27/12/2023 00:45,0.584,G,102,2.707,G,102,,
27/12/2023 01:00,0.584,G,102,2.707,G,102,,
27/12/2023 01:15,0.582,G,102,2.705,G,102,,
27/12/2023 01:30,0.579,G,102,2.702,G,102,,
27/12/2023 01:45,0.576,G,102,2.699,G,102,,
27/12/2023 02:00,0.573,G,102,2.696,G,102,,
27/12/2023 02:15,0.567,G,102,2.69,G,102,,
27/12/2023 02:30,0.566,G,102,2.689,G,102,,
27/12/2023 02:45,0.568,G,102,2.691,G,102,,
27/12/2023 03:00,0.572,G,102,2.695,G,102,,
27/12/2023 03:15,0.566,G,102,2.689,G,102,,
27/12/2023 03:30,0.574,G,102,2.697,G,102,,
27/12/2023 03:45,0.572,G,102,2.695,G,102,,
27/12/2023 04:00,0.566,G,102,2.689,G,102,,
27/12/2023 04:15,0.575,G,102,2.698,G,102,,
27/12/2023 04:30,0.576,G,102,2.699,G,102,,
27/12/2023 04:45,0.561,G,102,2.684,G,102,,
27/12/2023 05:00,0.546,G,102,2.669,G,102,,
27/12/2023 05:15,0.544,G,102,2.667,G,102,,
27/12/2023 05:30,0.539,G,102,2.662,G,102,,
27/12/2023 05:45,0.541,G,102,2.664,G,102,,
27/12/2023 06:00,0.545,G,102,2.668,G,102,,
27/12/2023 06:15,0.546,G,102,2.669,G,102,,
27/12/2023 06:30,0.552,G,102,2.675,G,102,,
27/12/2023 06:45,0.554,G,102,2.677,G,102,,
27/12/2023 07:00,0.551,G,102,2.674,G,102,,
27/12/2023 07:15,0.549,G,102,2.672,G,102,,
27/12/2023 07:30,0.548,G,102,2.671,G,102,,
27/12/2023 07:45,0.546,G,102,2.669,G,102,,
27/12/2023 08:00,0.544,G,102,2.667,G,102,,
27/12/2023 08:15,0.54,G,102,2.663,G,102,,
27/12/2023 08:30,0.536,G,102,2.659,G,102,,
27/12/2023 08:45,0.535,G,102,2.658,G,102,,
27/12/2023 09:00,0.53,G,102,2.653,G,102,,
27/12/2023 09:15,0.528,G,102,2.651,G,102,,
27/12/2023 09:30,0.529,G,102,2.652,G,102,,
27/12/2023 09:45,0.524,G,102,2.647,G,102,,
27/12/2023 10:00,0.527,G,102,2.65,G,102,,
27/12/2023 10:15,0.524,G,102,2.647,G,102,,
27/12/2023 10:30,0.518,G,102,2.641,G,102,,
27/12/2023 10:45,0.523,G,102,2.646,G,102,,
27/12/2023 11:00,0.547,G,102,2.67,G,102,,
27/12/2023 11:15,0.54,G,102,2.663,G,102,,
27/12/2023 11:30,0.572,G,102,2.695,G,102,,
27/12/2023 11:45,0.588,G,102,2.711,G,102,,
27/12/2023 12:00,0.602,G,102,2.725,G,102,,
27/12/2023 12:15,0.594,G,102,2.717,G,102,,
27/12/2023 12:30,0.598,G,102,2.721,G,102,,
27/12/2023 12:45,0.598,G,102,2.721,G,102,,
27/12/2023 13:00,0.583,G,102,2.706,G,102,,
27/12/2023 13:15,0.572,G,102,2.695,G,102,,
27/12/2023 13:30,0.565,G,102,2.688,G,102,,
27/12/2023 13:45,0.552,G,102,2.675,G,102,,
27/12/2023 14:00,0.532,G,102,2.655,G,102,,
27/12/2023 14:15,0.517,G,102,2.64,G,102,,
27/12/2023 14:30,0.502,G,102,2.625,G,102,,
27/12/2023 14:45,0.503,G,102,2.626,G,102,,
27/12/2023 15:00,0.518,G,102,2.641,G,102,,
27/12/2023 15:15,0.507,G,102,2.63,G,102,,
27/12/2023 15:30,0.511,G,102,2.634,G,102,,
27/12/2023 15:45,0.532,G,102,2.655,G,102,,
27/12/2023 16:00,0.539,G,102,2.662,G,102,,
27/12/2023 16:15,0.551,G,102,2.674,G,102,,
27/12/2023 16:30,0.556,G,102,2.679,G,102,,
27/12/2023 16:45,0.561,G,102,2.684,G,102,,
27/12/2023 17:00,0.581,G,102,2.704,G,102,,
27/12/2023 17:15,0.584,G,102,2.707,G,102,,
27/12/2023 17:30,0.593,G,102,2.716,G,102,,
27/12/2023 17:45,0.597,G,102,2.72,G,102,,
27/12/2023 18:00,0.612,G,102,2.735,G,102,,
27/12/2023 18:15,0.626,G,102,2.749,G,102,,
27/12/2023 18:30,0.648,G,102,2.771,G,102,,
27/12/2023 18:45,0.667,G,102,2.79,G,102,,
27/12/2023 19:00,0.697,G,102,2.82,G,102,,
27/12/2023 19:15,0.735,G,102,2.858,G,102,,
27/12/2023 19:30,0.785,G,102,2.908,G,102,,
27/12/2023 19:45,0.846,G,102,2.969,G,102,,
27/12/2023 20:00,0.909,G,102,3.032,G,102,,
27/12/2023 20:15,0.991,G,102,3.114,G,102,,
27/12/2023 20:30,1.076,G,102,3.199,G,102,,
27/12/2023 20:45,1.175,G,102,3.298,G,102,,
27/12/2023 21:00,1.258,G,102,3.381,G,102,,
27/12/2023 21:15,1.362,G,102,3.485,G,102,,
27/12/2023 21:30,1.453,G,102,3.576,G,102,,
27/12/2023 21:45,1.571,G,102,3.694,G,102,,
27/12/2023 22:00,1.658,G,102,3.781,G,102,,
27/12/2023 22:15,1.748,G,102,3.871,G,102,,
27/12/2023 22:30,1.845,G,102,3.968,G,102,,
27/12/2023 22:45,1.916,G,102,4.039,G,102,,
27/12/2023 23:00,1.993,G,102,4.116,G,102,,
27/12/2023 23:15,2.09,G,102,4.213,G,102,,
27/12/2023 23:30,2.163,G,102,4.286,G,102,,
27/12/2023 23:45,2.225,G,102,4.348,G,102,,
28/12/2023 00:00,2.288,G,102,4.411,G,102,,
28/12/2023 00:15,2.343,G,102,4.466,G,102,,
28/12/2023 00:30,2.405,G,102,4.528,G,102,,
28/12/2023 00:45,2.472,G,102,4.595,G,102,,
28/12/2023 01:00,2.52,G,102,4.643,G,102,,
28/12/2023 01:15,2.565,G,102,4.688,G,102,,
28/12/2023 01:30,2.621,G,102,4.744,G,102,,
28/12/2023 01:45,2.653,G,102,4.776,G,102,,
28/12/2023 02:00,2.712,G,102,4.835,G,102,,
28/12/2023 02:15,2.749,G,102,4.872,G,102,,
28/12/2023 02:30,2.775,G,102,4.898,G,102,,
28/12/2023 02:45,2.835,G,102,4.958,G,102,,
28/12/2023 03:00,2.886,G,102,5.009,G,102,,
28/12/2023 03:15,2.927,G,102,5.05,G,102,,
28/12/2023 03:30,2.964,G,102,5.087,G,102,,
28/12/2023 03:45,3.006,G,102,5.129,G,102,,
28/12/2023 04:00,3.04,G,102,5.163,G,102,,
28/12/2023 04:15,3.072,G,102,5.195,G,102,,
28/12/2023 04:30,3.116,G,102,5.239,G,102,,
28/12/2023 04:45,3.137,G,102,5.26,G,102,,
28/12/2023 05:00,3.168,G,102,5.291,G,102,,
28/12/2023 05:15,3.166,G,102,5.289,G,102,,
28/12/2023 05:30,3.197,G,102,5.32,G,102,,
28/12/2023 05:45,3.219,G,102,5.342,G,102,,
28/12/2023 06:00,3.23,G,102,5.353,G,102,,
28/12/2023 06:15,3.253,G,102,5.376,G,102,,
28/12/2023 06:30,3.274,G,102,5.397,G,102,,
28/12/2023 06:45,3.293,G,102,5.416,G,102,,
28/12/2023 07:00,3.312,G,102,5.435,G,102,,
28/12/2023 07:15,3.301,G,102,5.424,G,102,,
28/12/2023 07:30,3.33,G,102,5.453,G,102,,
28/12/2023 07:45,3.338,G,102,5.461,G,102,,
28/12/2023 08:00,3.33,G,102,5.453,G,102,,
28/12/2023 08:15,3.349,G,102,5.472,G,102,,
28/12/2023 08:30,3.341,G,102,5.464,G,102,,
28/12/2023 08:45,3.364,G,102,5.487,G,102,,
28/12/2023 09:00,3.356,G,102,5.479,G,102,,
28/12/2023 09:15,3.364,G,102,5.487,G,102,,
28/12/2023 09:30,3.36,G,102,5.483,G,102,,
28/12/2023 09:45,3.352,G,102,5.475,G,102,,
28/12/2023 10:00,3.358,G,102,5.481,G,102,,
28/12/2023 10:15,3.358,G,102,5.481,G,102,,
28/12/2023 10:30,3.365,G,102,5.488,G,102,,
28/12/2023 10:45,3.364,G,102,5.487,G,102,,
28/12/2023 11:00,3.354,G,102,5.477,G,102,,
28/12/2023 11:15,3.351,G,102,5.474,G,102,,
28/12/2023 11:30,3.354,G,102,5.477,G,102,,
28/12/2023 11:45,3.339,G,102,5.462,G,102,,
28/12/2023 12:00,3.349,G,102,5.472,G,102,,
28/12/2023 12:15,3.362,G,102,5.485,G,102,,
28/12/2023 12:30,3.348,G,102,5.471,G,102,,
28/12/2023 12:45,3.337,G,102,5.46,G,102,,
28/12/2023 13:00,3.353,G,102,5.476,G,102,,
28/12/2023 13:15,3.343,G,102,5.466,G,102,,
28/12/2023 13:30,3.34,G,102,5.463,G,102,,
28/12/2023 13:45,3.334,G,102,5.457,G,102,,
28/12/2023 14:00,3.33,G,102,5.453,G,102,,
28/12/2023 14:15,3.328,G,102,5.451,G,102,,
28/12/2023 14:30,3.314,G,102,5.437,G,102,,
28/12/2023 14:45,3.303,G,102,5.426,G,102,,
28/12/2023 15:00,3.294,G,102,5.417,G,102,,
28/12/2023 15:15,3.286,G,102,5.409,G,102,,
28/12/2023 15:30,3.288,G,102,5.411,G,102,,
28/12/2023 15:45,3.274,G,102,5.397,G,102,,
28/12/2023 16:00,3.257,G,102,5.38,G,102,,
28/12/2023 16:15,3.252,G,102,5.375,G,102,,
28/12/2023 16:30,3.245,G,102,5.368,G,102,,
28/12/2023 16:45,3.237,G,102,5.36,G,102,,
28/12/2023 17:00,3.233,G,102,5.356,G,102,,
28/12/2023 17:15,3.207,G,102,5.33,G,102,,
28/12/2023 17:30,3.186,G,102,5.309,G,102,,
28/12/2023 17:45,3.158,G,102,5.281,G,102,,
28/12/2023 18:00,3.131,G,102,5.254,G,102,,
28/12/2023 18:15,3.088,G,102,5.211,G,102,,
28/12/2023 18:30,3.046,G,102,5.169,G,102,,
28/12/2023 18:45,3.003,G,102,5.126,G,102,,
28/12/2023 19:00,2.959,G,102,5.082,G,102,,
28/12/2023 19:15,2.915,G,102,5.038,G,102,,
28/12/2023 19:30,2.878,G,102,5.001,G,102,,
28/12/2023 19:45,2.837,G,102,4.96,G,102,,
28/12/2023 20:00,2.808,G,102,4.931,G,102,,
28/12/2023 20:15,2.772,G,102,4.895,G,102,,
28/12/2023 20:30,2.739,G,102,4.862,G,102,,
28/12/2023 20:45,2.715,G,102,4.838,G,102,,
28/12/2023 21:00,2.68,G,102,4.803,G,102,,
28/12/2023 21:15,2.65,G,102,4.773,G,102,,
28/12/2023 21:30,2.615,G,102,4.738,G,102,,
28/12/2023 21:45,2.594,G,102,4.717,G,102,,
28/12/2023 22:00,2.558,G,102,4.681,G,102,,
28/12/2023 22:15,2.529,G,102,4.652,G,102,,
28/12/2023 22:30,2.509,G,102,4.632,G,102,,
28/12/2023 22:45,2.479,G,102,4.602,G,102,,
28/12/2023 23:00,2.446,G,102,4.569,G,102,,
28/12/2023 23:15,2.419,G,102,4.542,G,102,,
28/12/2023 23:30,2.423,G,102,4.546,G,102,,
28/12/2023 23:45,2.398,G,102,4.521,G,102,,
29/12/2023 00:00,2.363,G,102,4.486,G,102,,
29/12/2023 00:15,2.355,G,102,4.478,G,102,,
29/12/2023 00:30,2.34,G,102,4.463,G,102,,
29/12/2023 00:45,2.324,G,102,4.447,G,102,,
29/12/2023 01:00,2.319,G,102,4.442,G,102,,
29/12/2023 01:15,2.29,G,102,4.413,G,102,,
29/12/2023 01:30,2.274,G,102,4.397,G,102,,
29/12/2023 01:45,2.266,G,102,4.389,G,102,,
29/12/2023 02:00,2.249,G,102,4.372,G,102,,
29/12/2023 02:15,2.241,G,102,4.364,G,102,,
29/12/2023 02:30,2.225,G,102,4.348,G,102,,
29/12/2023 02:45,2.208,G,102,4.331,G,102,,
29/12/2023 03:00,2.185,G,102,4.308,G,102,,
29/12/2023 03:15,2.18,G,102,4.303,G,102,,
29/12/2023 03:30,2.157,G,102,4.28,G,102,,
29/12/2023 03:45,2.14,G,102,4.263,G,102,,
29/12/2023 04:00,2.124,G,102,4.247,G,102,,
29/12/2023 04:15,2.11,G,102,4.233,G,102,,
29/12/2023 04:30,2.081,G,102,4.204,G,102,,
29/12/2023 04:45,2.061,G,102,4.184,G,102,,
29/12/2023 05:00,2.04,G,102,4.163,G,102,,
29/12/2023 05:15,2.049,G,102,4.172,G,102,,
29/12/2023 05:30,2.035,G,102,4.158,G,102,,
29/12/2023 05:45,2.005,G,102,4.128,G,102,,
29/12/2023 06:00,1.967,G,102,4.09,G,102,,
29/12/2023 06:15,1.941,G,102,4.064,G,102,,
29/12/2023 06:30,1.917,G,102,4.04,G,102,,
29/12/2023 06:45,1.892,G,102,4.015,G,102,,
29/12/2023 07:00,1.865,G,102,3.988,G,102,,
29/12/2023 07:15,1.838,G,102,3.961,G,102,,
29/12/2023 07:30,1.816,G,102,3.939,G,102,,
29/12/2023 07:45,1.795,G,102,3.918,G,102,,
29/12/2023 08:00,1.773,G,102,3.896,G,102,,
29/12/2023 08:15,1.768,G,102,3.891,G,102,,
29/12/2023 08:30,1.75,G,102,3.873,G,102,,
29/12/2023 08:45,1.737,G,102,3.86,G,102,,
29/12/2023 09:00,1.727,G,102,3.85,G,102,,
29/12/2023 09:15,1.708,G,102,3.831,G,102,,
29/12/2023 09:30,1.715,G,102,3.838,G,102,,
29/12/2023 09:45,1.701,G,102,3.824,G,102,,
29/12/2023 10:00,1.696,G,102,3.819,G,102,,
29/12/2023 10:15,1.692,G,102,3.815,G,102,,
29/12/2023 10:30,1.681,G,102,3.804,G,102,,
29/12/2023 10:45,1.688,G,102,3.811,G,102,,
29/12/2023 11:00,1.695,G,102,3.818,G,102,,
29/12/2023 11:15,1.692,G,102,3.815,G,102,,
29/12/2023 11:30,1.701,G,102,3.824,G,102,,
29/12/2023 11:45,1.697,G,102,3.82,G,102,,
29/12/2023 12:00,1.718,G,102,3.841,G,102,,
29/12/2023 12:15,1.713,G,102,3.836,G,102,,
29/12/2023 12:30,1.719,G,102,3.842,G,102,,
29/12/2023 12:45,1.719,G,102,3.842,G,102,,
29/12/2023 13:00,1.72,G,102,3.843,G,102,,
29/12/2023 13:15,1.718,G,102,3.841,G,102,,
29/12/2023 13:30,1.717,G,102,3.84,G,102,,
29/12/2023 13:45,1.721,G,102,3.844,G,102,,
29/12/2023 14:00,1.714,G,102,3.837,G,102,,
29/12/2023 14:15,1.711,G,102,3.834,G,102,,
29/12/2023 14:30,1.704,G,102,3.827,G,102,,
29/12/2023 14:45,1.703,G,102,3.826,G,102,,
29/12/2023 15:00,1.688,G,102,3.811,G,102,,
29/12/2023 15:15,1.692,G,102,3.815,G,102,,
29/12/2023 15:30,1.673,G,102,3.796,G,102,,
29/12/2023 15:45,1.664,G,102,3.787,G,102,,
29/12/2023 16:00,1.657,G,102,3.78,G,102,,
29/12/2023 16:15,1.642,G,102,3.765,G,102,,
29/12/2023 16:30,1.64,G,102,3.763,G,102,,
29/12/2023 16:45,1.622,G,102,3.745,G,102,,
29/12/2023 17:00,1.628,G,102,3.751,G,102,,
29/12/2023 17:15,1.634,G,102,3.757,G,102,,
29/12/2023 17:30,1.649,G,102,3.772,G,102,,
29/12/2023 17:45,1.638,G,102,3.761,G,102,,
29/12/2023 18:00,1.648,G,102,3.771,G,102,,
29/12/2023 18:15,1.618,G,102,3.741,G,102,,
29/12/2023 18:30,1.6,G,102,3.723,G,102,,
29/12/2023 18:45,1.576,G,102,3.699,G,102,,
29/12/2023 19:00,1.539,G,102,3.662,G,102,,
29/12/2023 19:15,1.498,G,102,3.621,G,102,,
29/12/2023 19:30,1.459,G,102,3.582,G,102,,
29/12/2023 19:45,1.427,G,102,3.55,G,102,,
29/12/2023 20:00,1.392,G,102,3.515,G,102,,
29/12/2023 20:15,1.359,G,102,3.482,G,102,,
29/12/2023 20:30,1.344,G,102,3.467,G,102,,
29/12/2023 20:45,1.319,G,102,3.442,G,102,,
29/12/2023 21:00,1.302,G,102,3.425,G,102,,
29/12/2023 21:15,1.291,G,102,3.414,G,102,,
29/12/2023 21:30,1.277,G,102,3.4,G,102,,
29/12/2023 21:45,1.257,G,102,3.38,G,102,,
29/12/2023 22:00,1.259,G,102,3.382,G,102,,
29/12/2023 22:15,1.239,G,102,3.362,G,102,,
29/12/2023 22:30,1.227,G,102,3.35,G,102,,
29/12/2023 22:45,1.221,G,102,3.344,G,102,,
29/12/2023 23:00,1.197,G,102,3.32,G,102,,
29/12/2023 23:15,1.181,G,102,3.304,G,102,,
29/12/2023 23:30,1.174,G,102,3.297,G,102,,
29/12/2023 23:45,1.163,G,102,3.286,G,102,,
